,BES,MC,MES,array,sum
BDF2_1_KO48,1.0546597631613417,1.0,1.4293940324704992,1.0,4.484053795631841
BDF3_1_KO24,2.4593805872780243,1.025547565154898,6.231530994267659,1.025547565154898,10.74200671185548
BET151_1_Drug12h,1.0,1.0,0.9678576761165494,1.0,3.9678576761165494
BET151_1_Drug24h,0.8628910460764099,1.0,0.9208965401369524,1.0,3.7837875862133625
BET151_1_Drug3h,1.0773854793176993,1.0,1.093596385315424,1.0,4.170981864633124
BET151_1_Drug48h,0.7574098792154972,1.0,2.6600031908063677,1.0,5.4174130700218655
BET151_1_Drug6h,1.0199594579972255,1.0,1.1122959928183187,1.0,4.132255450815544
BET151_1_Drug72h,0.8510200514467942,1.0,10.78798790704513,1.0381765184481153,13.677184476940038
CAF1b_1_RNAi24,3.5079263117565658,1.0327766163974035,37.36036854386853,1.0484529552814108,42.94952442730391
CFB2_1_RNAi9,1.0199195154057374,0.9932103846243783,2.8282551721383276,0.992805838206179,5.8341909103746215
DFO_1_DFO,1.0041368776052362,1.0,1.057581140042289,1.0,4.061718017647525
DFO_1_DFOFe,1.0027095965493031,1.0,0.9462144002417138,1.0,3.948923996791017
DFO_1_Fe,1.008709715259748,1.0,0.9790139266030363,1.0,3.987723641862784
DRBD18_1_RNAi12,0.9988130070938215,1.0,0.8352847536365076,1.0,3.8340977607303293
H1_1_RNAi96,3.9187084257124196,1.0,2.3762379332087162,1.0,8.294946358921136
H3H4_1_KOH3,1.5594780731023783,1.016557916609905,2.2889600747575813,1.0,5.864996064469865
H3H4_1_KOH3J,2.9190084200691815,1.0997166263662472,4.951800100425126,1.0,9.970525146860556
H3H4_1_KOH4,1.0,1.0,0.5229577846224917,1.0,3.5229577846224918
H3H4_1_KOH4J,1.044773464590944,1.0,0.7839939715771663,1.0,3.82876743616811
H3H4_1_KOJ2,0.7822027463406143,1.0,0.3256292866209842,1.0,3.1078320329615985
H3H4_2_KO48,2.1091229018148314,1.14654473858749,10.764098188364331,1.0495504464382714,15.069316275204923
H3H4_3_KO48,1.9397214408959622,1.1198072603005187,15.978743262502249,1.0362009067060098,20.07447287040474
H3_1_KOH3,2.317297323539219,1.0151380533185925,4.589085349599937,1.0,8.921520726457748
H3_1_KOH3J,2.0840775898803265,1.041172691954135,6.132776029519658,1.0055448108211464,10.263571122175264
H3_1_KOJ,0.8906992324345203,1.0,1.0609915640910987,1.0,3.951690796525619
IPMK_1_RNAi36,1.015546490681392,1.0,1.094688003025472,1.0003257479467016,4.110560241653566
IPMK_2_RNAi36,1.0,1.0,0.8934002710573543,1.0,3.893400271057354
MCMBP_1_KO24,2.5879569660001187,1.002129881189957,4.7688063925488136,1.0223534638793508,9.381246703618242
MCMBP_1_KO48,6.714779154975935,1.1217073185030175,13.287653856789426,1.175329511312157,22.299469841580535
PIP5Pase_1_KO,51.11263509255524,4.6270125385823455,24.669520753650215,16.34505304784839,96.7542214326362
PIP5Pase_2_D360A_N362A,11.287110139715232,2.2495734464265595,11.41234558384984,4.017353442322717,28.966382612314348
